goos: darwin
goarch: arm64
pkg: github.com/perfectgentlemande/go-semaphore-vs-worker-pool
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_10-10     	     279	   4637015 ns/op	 2406440 B/op	   20006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      16	  66741320 ns/op	24005772 B/op	  200020 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      19	  67901208 ns/op	24004432 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      22	  68902850 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      16	  63946055 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      19	  68168116 ns/op	24005114 B/op	  200013 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      18	  67522440 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      19	  65741759 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      18	  66503306 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      15	  67314994 ns/op	24004392 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_100000_goroutines_count_10-10    	      16	  65432477 ns/op	24004404 B/op	  200006 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1688175	       708.1 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1690072	       708.5 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1693053	       709.9 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1689724	       709.7 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1689534	       708.3 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1688384	       707.6 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1687426	       710.1 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1691455	       709.4 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1693221	       710.3 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_100-10        	 1686561	       707.0 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  203678	      5765 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  202766	      5776 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  203138	      5751 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  200254	      5773 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  197877	      5707 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  200140	      5760 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  203541	      5776 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  202684	      5749 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  204864	      5719 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_100-10       	  203284	      5776 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   24414	     46653 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   25563	     47152 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   25166	     48568 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   25612	     46521 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   25725	     47799 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   24826	     46936 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   24952	     46583 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   25975	     48183 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   23128	     48003 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_100-10      	   24816	     47478 ns/op	   25832 B/op	     206 allocs/op
